Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-07-31,23:00,22.2,1.8,193.5,1012.6,21.6,70.7,0.0,0.0,96.3,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,00:00,21.9,1.9,193.9,1012.0,21.5,61.1,0.0,0.0,97.4,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,01:00,21.6,1.9,193.9,1011.5,21.3,60.0,0.0,0.0,98.1,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,02:00,21.6,1.8,190.0,1011.0,21.3,66.5,0.0,0.0,98.4,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,03:00,21.5,1.8,192.8,1010.9,21.3,76.1,0.0,0.0,98.5,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,04:00,21.5,1.7,180.0,1011.0,21.2,86.1,0.0,0.0,98.4,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,05:00,21.4,1.4,169.6,1011.5,21.0,80.0,0.0,0.0,97.7,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,06:00,21.4,1.4,165.1,1011.8,21.0,79.6,0.0,0.0,97.8,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,07:00,22.3,1.1,165.1,1012.1,21.2,85.5,0.0,0.0,93.7,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,08:00,23.5,1.2,179.6,1012.5,21.1,80.0,0.0,0.0,86.2,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,09:00,25.0,1.3,186.1,1012.6,21.3,75.5,0.0,0.0,80.1,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,10:00,26.2,1.7,213.9,1012.5,21.3,70.0,0.0,0.0,74.2,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,11:00,26.9,1.9,213.9,1011.9,21.3,70.0,0.0,0.0,71.7,Parcialmente Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,12:00,27.1,1.9,217.3,1011.3,21.4,80.0,0.0,0.0,71.1,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,13:00,27.3,1.5,217.7,1010.2,21.3,80.0,0.0,0.0,69.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,14:00,27.5,1.2,221.6,1009.2,21.4,80.0,0.0,0.0,69.6,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,15:00,27.5,0.9,205.3,1008.6,21.7,90.0,0.0,0.0,70.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,16:00,26.6,0.7,243.2,1008.0,24.0,90.0,0.0,0.0,85.5,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,17:00,25.4,0.6,268.6,1008.4,23.6,90.0,0.0,0.0,89.9,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,18:00,24.4,0.7,276.3,1009.1,22.9,90.4,0.0,0.0,91.4,Nublado
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,19:00,23.9,0.7,104.6,1010.1,22.6,93.9,0.5,0.0,92.2,Nublado - Llovizna
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,20:00,23.4,0.7,152.1,1010.9,22.4,100.0,1.2,0.0,94.0,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,21:00,23.3,1.0,180.0,1011.6,22.3,100.0,1.1,0.0,94.1,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,22:00,23.2,1.2,183.9,1012.0,22.3,100.0,0.6,0.0,94.9,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-01,23:00,23.0,1.3,199.4,1012.0,22.2,100.0,0.5,0.0,95.6,Nublado - Lluvia
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-02,00:00,22.9,1.5,193.5,1011.4,22.2,100.0,0.4,0.0,96.3,Nublado - Llovizna
05045000,7.883251,-76.625891,,ANTIOQUIA,2022-08-02,01:00,22.7,1.5,190.0,1010.8,22.2,100.0,0.0,0.0,96.8,Nublado
